CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"Footnotes
1990","Footnotes
1991","Footnotes
1992","Footnotes
1993","Footnotes
1994","Footnotes
1995","Footnotes
1996","Footnotes
1997","Footnotes
1998","Footnotes
1999","Footnotes
2000","Footnotes
2001","Footnotes
2002","Footnotes
2003","Footnotes
2004","Footnotes
2005","Footnotes
2006","Footnotes
2007","Footnotes
2008","Footnotes
2009","Footnotes
2010","Footnotes
2011","Footnotes
2012","Footnotes
2013","Footnotes
2014","Footnotes
2015","Footnotes
2016","Footnotes
2017"
446,"China, Macao Special Administrative Region",21.62999916,...,...,...,...,35.61000061,37.09999847,58.27000046,56.90000153,45.83000183,58.36000061,65.94000244,58.52000046,40.68000031,41.68999863,53.54999924,57.13999939,42.81999969,82.19999695,47.79999924,64.52999878,40.77000046,46.52000046,77.73000336,47.99000168,40.76639938,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Colombia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4.782464981,3.938791752,9.548855782,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,...,...,...,...,...,...,...,...,...,...,...,157656.0469,156456.5469,163509.7344,167944.8438,160463.1875,149189.6094,170710.0938,174368.9844,152721.5313,194983.625,158050.4844,137417.9844,137692.0156,160996.1875,153325.7656,150508.1563,157436.1563,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
191,Croatia,51723,...,...,...,...,72072,...,...,...,...,53137,62517,70169,45655,68673,67593,57114,60255,...,...,...,66680,62618,61108,85551,62330,70769,64839,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,,
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,102002,160396,143146,173896,150892,114559,137896,134831,153841,142297,139333,129751,133613,163527,,,,,,,,,,,,,,,13,13,13,13,13,13,13,13,13,13,13,13,13,13
531,Curaçao,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1092,629,440,529.0999756,384.2999878,340.3999939,541,518.5999756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,...,3663,2998,1965,3999,...,2998,2573,2483,1932,3152,3213,2841,3214,3227,2303,2326,2767,1648,3745,2570,3348,4737,1770,2358,2904,2580,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Czechia,46064,46687,48186,53391,52287,61514,54890,57809,56153,49291,54733,63960,71298,40695,53629,57730,55837,59544,49105,59046,68329,49000,54812,57336,51420,41643,50048,53397,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2
384,Côte d'Ivoire,420000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Democratic Republic of the Congo,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,766.3699951,840.2000122,711.1900024,789.3699951,1199.76001,1110.329956,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,15,15
208,Denmark,42580,33939,36542,39457,45807,33939,26287,32377,44766,47109,32000,32000,36500,26500,34500,27000,34500,37319,33742,31588,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,
214,Dominican Republic,68869.20313,...,...,...,...,62113.69922,87198.60156,44587.30078,79742.29688,68752.39844,54501.60156,57541,57831,69919,70507,84177,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Ecuador,286294.25,...,...,...,...,289258.875,299554.5625,484618,538565.9375,417664.25,345077.3125,346039.9063,375106.4688,338588.9375,311529.3438,309709.5938,352798.5313,347468.4688,410788.625,329119.7813,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Egypt,...,...,...,...,...,...,...,...,...,...,...,...,...,1300,1300,1300,1300,1300,...,...,...,...,...,...,...,1300,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,El Salvador,37539.875,...,...,...,...,40099.90234,42092.00781,31938.57813,43730.72266,39128.33203,35023.46875,30927.23633,33734.66406,35749.43359,33598.43359,43638.42578,40125.05859,35914.92188,39423.76563,34337.25781,46266.98828,44503.37891,34146.62891,35644.50781,34455.13672,30384.76563,29703.48633,36312.64844,16,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
233,Estonia,35996,...,26950,29400,30260,29868,24793,29294,33597,28860,29117,34665,24227,18934,33438,28986,23515,31431,...,...,...,30371,38917,25719,26836,25136,31216,31739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,201000,245000,257000,210000,222000,223000,195000,202000,255000,209600,240000,217000,179000,207000,278000,228000,201683,185000,255938,192638,215684,254903,273591,221166,214401,265130,251689,248210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,France,458803,412166.5938,467894.5,473114.9063,602141.625,526938,496655.8125,463500.6875,484093.3125,583224.6875,572226,542698,535357,427898,473654,401743,509886,509244,562080,474837,502397,428158,516008,578552,567709,429730,509871,452384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
