CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
56,Belgium,...,...,...,...,...,81,81.09999847,81.19999695,82.40000153,81.30000305,79,80,80,82,84,84,85,87,88,88,82,84,86,87,87,88,88,88,,,,,,,,,,,,,,,,1,1,1,1,,,,1,1,1,1,1,1
84,Belize,...,...,...,...,...,...,...,...,...,...,15.10000038,...,...,...,...,...,...,...,...,...,60.3730011,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3
68,Bolivia (Plurinational State of),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,36.40000153,31.91602516,37.73846054,45.0609169,41.79250336,...,48.10697556,55.1990509,54.8080101,56.12456512,57.05994034,58.58403778,59.84954071,,,,,,,,,,,,,,,,4,4,4,4,4,,5,5,6,6,6,6,6
70,Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,31,16,17,18,20,20,21,21,24,25,26,27,28,31,32,34,35,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Brazil,...,...,...,...,...,...,...,...,...,...,...,...,...,...,45.36000061,45.5,45.86000061,48.54999924,50.24000168,50.36000061,...,52.84999847,54.93999863,56.04999924,55.81999969,57.11000061,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,British Virgin Islands,...,17.10000038,...,...,...,...,...,...,...,...,...,24.5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Brunei Darussalam,...,...,...,...,...,...,...,...,...,...,...,...,...,...,88,...,...,...,...,...,...,90,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,...,...,...,66.5,66.5,66,66.5,66.5,66.5,66.5,67,68,68,69,69,69,69,70,70,70,71,74,74,75,75,76,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
132,Cabo Verde,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,17.29999924,...,19.5,20.70000076,19.79999924,20.89999962,24.46258354,24.72448349,,,,,,,,,,,,,,,,,,,,,7,,7,7,7,7,7,7
124,Canada,...,73,...,...,73,...,74,...,...,74,...,...,...,...,90,...,88,...,...,87,...,...,...,...,...,...,...,...,,1,,,,,1,,,1,,,,,,,,,,8,,,,,,,,
152,Chile,...,...,...,...,...,...,...,...,...,...,93.30000305,...,...,...,...,94.98000336,95.27999878,95.19999695,95.30000305,95.59999847,95.90000153,96.13999939,100,99.93000031,99.93000031,99.84999847,...,...,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,
156,China,...,...,...,...,...,19.69000053,...,...,...,31.93000031,34.25,36.43000031,39.97000122,42.38999939,45.66999817,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",...,...,...,...,...,...,...,...,...,91.26000214,92.72000122,94.83000183,94.19999695,94.61000061,92.33000183,92.93000031,93.16999817,93.22000122,93.26000214,93.23000336,93.59999847,93.69999695,93.30000305,93.40000153,93.09999847,93.5,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,"China, Macao Special Administrative Region",...,...,...,...,...,99.90000153,99.90000153,...,...,...,...,...,...,...,...,...,...,...,...,...,...,100,100,100,100,100,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
