CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
440,Lithuania,"8,167","7,183",...,...,...,...,"6,902","7,258","7,109","4,921","7,560","7,446","5,760","8,345","6,991","6,366","9,369","8,457","9,242","6,826","8,146","6,846","11,530","11,871",,,,,,,,,,,,,,,,,,,,,,,,
442,Luxembourg,"4,717","4,236",...,...,...,...,...,...,...,...,...,...,...,...,"2,138","1,868","3,776","2,900",...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
450,Madagascar,...,...,...,...,...,...,"21,374",...,...,...,...,...,...,"17,341",...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
466,Mali,"11,092",...,...,...,...,...,...,...,...,...,"6,946","8,195","7,045","8,666","8,722","8,556","9,526","7,670","9,408","7,964","7,345","8,085","8,119",732,,,,,,,,,,,,,,,,,,,,,,,,
470,Malta,269,297,...,...,...,...,192,143,189,374,195,214,228,261,209,283,219,251,192,176,184,203,117,158,,,,,,,,,,,,,,,,,,,,,,,,
480,Mauritius,"2,122","2,539",...,...,...,...,"2,158","2,019","2,193","2,481","2,240","2,750","2,030","2,089","2,360","2,371","2,203","1,844","1,754","2,058","2,077","2,652","2,001","2,237",10,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,"10,11",,
504,Morocco,...,"2,110",...,...,...,...,...,...,...,...,961,...,...,705,"1,393","1,344",...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
520,Nauru,"2,853",...,...,...,...,...,...,...,...,...,"2,644","2,302","1,687",733,287,"1,858",914,"1,004","1,175",...,"2,348","3,419",...,...,,,,,,,,,,,,,,,,,,,,,,,,
528,Netherlands,"4,763","7,063","4,301","4,747","6,634","7,056","6,617","7,401","7,389","4,142","4,924","4,666","4,977","6,056","5,227","4,862","5,608","4,426","5,596","5,970","4,872","4,830","5,429",...,,,,,,,,,,,,,,,,,7,7,7,7,,7,,
807,North Macedonia,...,...,...,...,...,...,...,...,...,...,...,"9,307","6,719","7,467","6,288","7,021","10,108",...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
578,Norway,...,"98,220","71,730","94,911","87,603","90,555","1,04,470","81,594","77,547","79,287","82,068","3,238","2,309","2,729","2,581","2,358","35,252","58,860","48,988","49,371","41,097","55,757",...,...,,,,,,,,,,,,,,,,,,,,,,,,
591,Panama,"43,089",...,...,...,...,...,"43,865","40,178","38,993","47,938","41,524","43,035","40,084","46,993","38,350","35,725","47,604","37,318","30,471","27,509","28,249","23,343","29,967","32,714",,,,,,,,,,,,,,,,,,,,,,,,
