CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
70,Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,26411,22373,20338,15690,22004,22773,17967,19464,17888,21761,26930,22587,25399,26000,26883,24974,25617,25247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Brazil,11762551,...,...,...,...,11684281,11675114,11650138,11822547,11658542,11604933,11786480,11895190,11897731,11762859,11823228,11779750,11963445,11769852,11617902,11948611,11628461,12064854,11754489,11799024,11760121,11719974,11719974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,58179,54681,90476,52052,56314,70207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",1005.200012,...,...,...,...,1027.800049,997.9000244,1133.800049,849.7000122,896.5,1135.699951,1125.5,1067.900024,1055,1319.099976,1176.400024,1210.5,1535.599976,1422.699951,1506.300049,1333.099976,1349.099976,1301,1032.199951,1114.300049,1038.699951,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,...,...,...,...,...,...,...,...,...,...,...,47675.19141,47312.46094,49445.35156,50786.51953,48524.07031,45114.94141,51622.73047,52729.17969,46182.98828,58963.05078,47794.46875,41555.19922,41638.07031,48685.25,46365.71094,45513.67188,47608.69141,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
191,Croatia,38028,...,...,...,...,41709,...,...,...,...,40943,40918,45384,38782,42136,42670,44034,44046,...,...,...,39600,39600,38990,54586,39770,45751,41879,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,77410,95635,91159,99316,93871,81639,89461,89445,94395,90566,89448,85505,87921,96617,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7
196,Cyprus,...,2930,2398,1572,3199,...,2239,2058,1986,1546,2810,2892,2557,2892,2904,2073,2094,2490,1483,3370,2313,3013,4263,1593,2122,2614,2322,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Czechia,36470,37603,36159,43792,37683,43950,37461,39859,42750,35381,40353,48393,48533,29319,41473,42872,37617,46194,38689,47826,43988,35500,42239,38296,43297,32021,38700,39230,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
208,Denmark,24220,20391,24960,32609,37858,23831,20735,21897,20649,24521,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Ecuador,251828.8438,...,...,...,...,202481.2031,209688.1875,339232.5938,482117.8438,260509.6719,248217.3906,248493.3594,252780.5469,254329.9219,258519.875,256856.4688,255365.7188,248785.6094,239879.4219,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Egypt,...,...,...,...,...,...,...,...,...,...,...,...,...,2100,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,El Salvador,23833.67383,...,...,...,...,21278.1582,22628.13477,22142.94336,20963.9043,22831.58398,21763.52148,21505.36719,21174.15234,21981.55469,22248.37891,22131.33984,22947.25977,22175.81836,21598.43555,21759.23242,22205.90039,22295.25781,22915.50391,25034.05664,24564.94336,22147.01758,23480.31836,21426.56641,8,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
233,Estonia,14500,...,...,...,...,13632,16919,18396,20129,16340,...,...,...,...,...,...,15879,...,...,...,...,...,18532,16362,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
246,Finland,113000,108000,108000,130000,124000,118000,95000,115000,125000,114000,123000,130000,101000,123000,143000,112000,98266,89000,108133,104616,112561,131351,120016,114369,117270,119804,128476,124282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,France,304342,272183.5938,326965.4063,310289.9063,310150.5938,314146,301154.1875,335777.5,302495.6875,343863.1875,348536,330031,340452,343018,326188,325388,...,...,358245,315833,301180,301912,316271,313246,332183,304244,292608,299398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Gambia,11714,...,...,...,...,12959,...,...,...,12650,12872,12983,13483,12331,11719,11982,15571,15927.40527,12828.75781,6566.040039,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Georgia,25209,...,...,...,...,23984,24663,27790,22693,34632,27099,27550,37138,37635,37816,38087,29609,21855,29690,38369,32120,36257,31060,35366.20313,29849.16602,29937.16211,37092.27734,33814.99219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,169000,156000,167000,181000,174000,170000,167000,168000,180000,166000,172000,171000,181000,171000,178000,173000,171000,198000,172000,177000,182000,182000,178000,175000,190000,177000,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Hungary,45756,50180,47709,47898,55800,52917,54600,46000,54100,56700,42873,50685,49569,43340,52088,53103,49290,53100,52008,52731,65100,41199,45942,53754,59532,50561,55970,52951,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Iceland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18126,18567,19187,19136,18474,18310,17046,17494,16984,18256,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14310,19088,77526,97129,52415,21130,43973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Ireland,38954,38189.5,39611.30859,39050.33984,39110.98047,36067,37335.12109,40686.85938,39242.94141,38324.62109,39575,37232,38798,39082,38912,37731,37369,41399,37601,39037,34044,37564,38690,37749,38163,37995,37942,38377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Italy,132000,...,...,...,...,...,...,...,...,...,155108,131334,178474,129097,152075,148898,145160,146306,150448,148425,155688,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Jamaica,11945,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10051,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Jordan,...,...,...,...,...,...,...,...,...,...,...,7062,7011.799805,9026,6550.5,8671,5813,7201,4869.399902,5902.930176,8092.290039,6072.819824,5534.700195,7689,6817,8154,8772,7636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,...,...,...,...,705623,806553,672334,805426,747269,644677,822104,800379,817553,656679,865263,683123,839692,990086,704872,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Kuwait,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11,11,11.42000008,9.619999886,10.43999958,7.849999905,9.649999619,9.659999847,6.980000019,6,6.900000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Latvia,26987,23248,20121,28084,21982,26033,21285,24510,24187.5,25800,24259,30492,11949,10334,30315,30315,26061,26245,28162,26767,24075,27488,24208,20414,21239,20165,21308,27017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Lebanon,...,...,...,...,...,...,...,...,...,4500,4300,...,...,...,...,...,...,...,...,4500,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Lithuania,32523,25202,26856,31828,25260,28594,23696,31401,34619,24914,23182,31894,23944,30123,31170,28100,29538,32759,29173,35433,37282,28123,31542,32959,24719,25075,27685,36034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Luxembourg,1329,979,1353,1338,1136,1273,...,...,...,1153,...,...,...,...,...,...,...,...,1374,1229,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Madagascar,...,...,...,...,...,...,...,...,...,...,551000,...,...,...,...,...,...,551191.1875,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Mali,360786,...,...,...,...,...,...,...,...,...,...,...,...,...,360786,360786,360786,360786,360786,360786,360786,331925,331925,331925,331925,331925,333994,334865,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9
470,Malta,92,84.94000244,75.23000336,72.51999664,101.5899963,107,95.59999847,137.1499939,52.66999817,110.1900024,67,50,67,134,67,73,78,89,72,98,71,82,83,77,81,87,51,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Mauritius,961,...,...,...,...,1228,1034,1096,1158,601,1096,1034,1129,1285,1167,1440,1069,1105,1254,1264,1178,989,942,1107,1119,1431,1082,1212,10,,,,,,10,10,10,11,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10
504,Morocco,...,...,...,...,...,205370,...,...,...,131175,...,...,...,...,...,...,...,117000,121000,126000,119000,122000,79500,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Nauru,39.17340088,...,...,...,...,...,...,...,...,...,...,...,...,...,40.1609993,34.92720032,25.47719955,11.00459957,4.279799938,27.72120094,13.74120045,15.37679958,18.46500015,...,36.23759842,53.20980072,...,...,12,,,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,,12,12,,
528,Netherlands,21080,18292,19686,17578,...,22190,19970,21450,18810,22260,20660,21830,21940,24186,21849,22361,22681,21914,22053,17022,22228,22372,21828,21693,20028,22963,22800,22753,,,,,,,,,,,,,,,,,,,,,13,13,13,13,,13,13,13
