CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,
380,Italy,...,...,...,...,...,...,...,...,...,...,6134449,...,7464670,...,6878155,...,8543415,...,8987032,...,8877164,...,9706964,...,,,,,,,,,,,,,,,,,,,,,,,,,
388,Jamaica,...,...,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
400,Jordan,...,...,...,...,...,...,...,...,...,73616.70313,33431.80078,71404.29688,...,...,1293804.375,108403.3984,61962.10156,1230440.625,...,47400,...,...,...,...,,,,,,,,,,,,,,,"20,21",20,20,"20,21",,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,...,701317632,1684318464,263971104,261188000,453372992,227555008,303116992,420668288,355952512,382214304,337414784,251565600,151391104,126874304,,,,,,,,,,,,,,,,,,,,,,,,,
404,Kenya,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,38347.19922,,,,,,,,,,,,,,,,,,,,,,,,22,
414,Kuwait,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4955,,,,,,,,,,,,,,,,,,,,,,,,,
417,Kyrgyzstan,...,472293,627300,6270199,5910375,6070125,6304093,6229596,6512801,6421306,6410924,6206201,5827043,5546316,5581166,5683650,5806791.5,10152943,4930215.5,7957259.5,10223015,10498943,12377486,12648247,,,,,,,,,,,,,,,,,,,,,,,23,23,
428,Latvia,...,...,...,...,...,...,...,...,...,...,16955,...,65333,...,67462,...,67906,...,95114,...,104142,...,66230,...,,,,,,,,,,,,,,,,,,,,,,,,,
422,Lebanon,...,...,...,...,3945,...,...,108218,100492,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,24,,,,,,,,,,,,,,,,,,,,
438,Liechtenstein,...,...,...,...,...,...,...,...,...,...,...,...,10555.60938,46453.41406,7712.008789,8160.270996,28180.92969,17465.87305,14070.89746,14330.74902,11506.64063,7795.181152,8660.169922,...,,,,,,,,,,,,,25,25,25,25,25,25,25,25,25,25,25,,
440,Lithuania,...,...,...,...,...,...,...,...,...,...,89670,...,95178,...,115719,...,105323,...,136786,...,165477,...,175950,...,,,,,,,,,,,,,,,,,,,,,,,,,
442,Luxembourg,...,...,...,...,...,...,...,...,...,...,123852,...,233895,...,199115,...,380072,...,315082,...,237180,...,427440,...,,,,,,,,,,,,,,,,,,,,,,,,,
450,Madagascar,...,...,...,...,...,21554,...,...,1905,...,...,...,...,45957,...,...,...,...,...,...,...,...,...,...,,,,,,26,,,26,,,,,,,,,,,,,,,,
458,Malaysia,...,...,...,...,...,378610.75,344550.3438,420198,460866,460865.75,469584.0625,548916.125,1103457,1138839.5,1304898.75,1705308.125,3087496.75,3281569.25,2854516.75,2965611.75,2354674.25,2918478.25,2766613.5,2017281,,,,,,,,,,,,,,,,,,,,,,,,,
470,Malta,...,...,...,...,...,...,...,...,...,...,44105,...,51012,...,55267,...,24856,...,37987,...,36654,...,134001,...,,,,,,,,,,,6,,6,,6,,,,,,,,,,
474,Martinique,...,...,...,...,...,...,...,...,...,...,...,...,10181,4720,3443,3476,4109,1536,4707,3507,17169,8049,15747,...,,,,,,,,,,,,,15,15,,,,,,,,,,,
480,Mauritius,...,...,...,...,...,...,...,...,...,900,...,...,...,7116,7330,7549,7776,17052,17734,18443,19181,19948,20746,21576,,,,,,,,,,,,,,,,,,,,,,,,,
492,Monaco,...,328.0499878,328.2449951,263,284.322998,341.9289856,304.9649963,348.9750061,568.0139771,794.1799927,642.1799927,459.2099915,456.4869995,583.6339722,681.5999756,400.8869934,...,...,...,293.4400024,300.5,309.9100037,383.269989,201.6699982,,,,,,,,,,,,,,,,,,,,,,,,,
504,Morocco,...,...,...,...,...,...,119000,...,...,...,...,...,...,...,256045,...,...,...,...,289284,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
104,Myanmar,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,283,241,293,359,530,784,,,,,,,,,,,,,,,,,,,,,,,,,
528,Netherlands,...,...,...,...,...,...,...,...,...,...,2136411,...,5135703,...,4453991,...,4486479,...,4855399,...,4832314,...,5134155,...,,,,,,,,,,,,,,,,,,,,,,,,,
562,Niger,...,...,...,...,...,...,...,...,...,...,503000,554000,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
807,North Macedonia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6441,...,149534,...,678568,...,40797,...,57005,...,,,,,,,,,,,,,,,,,,,,,,,,,
578,Norway,...,...,...,...,...,...,...,...,...,...,669983,...,1217807,...,1447674,...,1763033,...,1357124,...,1592280,...,1621059,...,,,,,,,,,,,,,,,,,,,,,,,,,
