CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
124,Canada,...,62.40000153,...,...,67.5,...,69.80000305,...,...,71.69999695,...,...,...,...,87.22000122,...,86.40000153,...,...,84.30999756,...,...,...,...,...,...,...,...,,1,,,1,,1,,,1,,,,,,,,,,10,,,,,,,,
152,Chile,...,...,...,...,...,...,...,...,...,...,20.89999962,39.40000153,42.20000076,65.69999695,71.59999847,73.30000305,82,82.30000305,82.59999847,83.30000305,86.93029785,90.58789825,100,99.93000031,99.93000031,99.84999847,...,...,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,
156,China,...,...,...,...,...,...,...,...,...,...,...,20.80999947,24.28000069,27.47999954,32.54999924,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",...,...,...,...,...,...,...,...,...,91.26000214,92.72000122,94.83000183,94.19999695,94.61000061,92.33000183,92.93000031,93.16999817,93.22000122,93.26000214,93.23000336,93.59999847,93.69999695,93.30000305,93.40000153,93.09999847,93.5,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Colombia,...,...,...,...,...,...,...,...,...,...,...,...,...,69.97000122,71.33999634,72.70999908,...,90.80000305,91.5,89.69999695,89.80000305,...,91.19999695,91.19999695,91.30000305,91.81765747,92.28900909,92.44712067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8.260000229,8.260000229,8.260000229,8.260000229,8.260000229,8.260000229,2.099999905,4.599999905,7.650000095,7.559999943,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11
191,Croatia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9,9,22,...,...,...,98,98,98,98,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10.80000019,10.60000038,10.39999962,10.60000038,10.69999981,10.5,10.39999962,10.39999962,10.5,10.69999981,10.80000019,10.80000019,11.19999981,11.30000019,,,,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12
196,Cyprus,...,...,100,100,100,100,100,100,100,100,100,100,100,100,100,100,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Czechia,...,...,...,...,...,...,...,...,...,...,66,68,72,73,74,75,74,76,78,78,79,81,78,80,80,81,81,82,,,,,,,,,,,1,1,1,1,1,,,,,,,,1,1,,,,
