Country ID,Country,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GHG total without LULUCF, latest year",% change since 1990,"GHG emissions per capita,
 latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 t of
 CO₂ equivalent",%,kg of CO₂ equivalent
140,Central African Republic,...,...,...,...,"37,737.00",...,...,...,...,...,...,...,...,"32,263.41","32,278.75","32,295.57","9,756.02","9,777.20","9,782.46","5,201.63","5,225.25",...,...,...,...,...,...,...,...,2010,5225.25,...,1.19
148,Chad,...,...,...,"8,021.11",...,...,...,...,"24,245.39","23,065.11","22,880.45","24,406.47","22,584.31","25,714.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2003,25714.00,...,2.74
152,Chile,"49,990.20",...,...,"50,171.86","56,201.60",...,...,...,...,...,"74,101.41",...,...,...,...,...,"78,955.19",...,...,...,"89,416.32",...,...,"1,01,480.59",...,...,"1,08,800.02",...,...,2016,108800.02,117.64,5.98
156,China,...,...,...,...,"40,57,617.00",...,...,...,...,...,...,...,...,...,...,"80,15,000.00",...,...,...,...,"1,05,43,331.00",...,"1,18,95,765.00",...,"1,23,00,200.00",...,...,...,...,2014,12300200.00,...,8.79
170,Colombia,"1,18,729.57",...,...,...,"1,37,475.64",...,...,...,...,...,"1,47,282.17",...,...,...,"1,53,884.77",...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,153884.77,29.61,3.66
174,Comoros,...,...,...,...,512.13,...,...,...,...,...,285.05,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,285.05,...,0.53
178,Congo,...,...,...,...,"1,374.69",...,...,...,...,...,"2,065.05",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,2065.05,...,0.66
184,Cook Islands,...,...,...,...,80.30,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,80.30,...,4.21
188,Costa Rica,"6,091.36",...,...,...,...,...,"10,794.44",...,...,...,"11,033.31",...,...,...,...,"12,114.03",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,12114.03,98.87,2.83
384,Côte d’Ivoire,...,...,...,...,"24,726.54",...,...,...,...,...,"2,71,197.46",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,271197.46,...,16.48
191,Croatia,"31,875.85","25,034.42","23,037.60","23,009.78","22,116.19","22,739.43","23,288.23","24,534.40","24,923.52","26,053.24","25,708.82","26,894.15","28,007.78","29,468.13","29,465.49","29,920.38","30,299.87","31,726.83","30,822.85","28,468.42","28,033.73","27,707.92","25,887.46","24,463.77","23,697.28","24,125.31","24,275.34","25,032.08","23,792.80",2018,23792.80,-25.36,5.72
192,Cuba,"47,641.49",...,"33,265.77",...,"32,590.16",...,"37,331.09",...,"39,023.34",...,"37,697.20",...,"36,296.71",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2002,36296.71,-23.81,3.24
196,Cyprus,"5,690.44","6,207.65","6,662.69","6,944.99","7,204.88","7,143.86","7,490.33","7,581.99","7,909.48","8,187.10","8,457.56","8,401.04","8,634.01","9,023.85","9,235.40","9,390.60","9,600.37","9,943.99","10,094.96","9,849.21","9,518.12","9,167.14","8,631.48","7,915.92","8,291.26","8,345.50","8,794.10","8,974.40","8,811.61",2018,8811.61,54.85,7.41
203,Czechia,"1,97,202.55","1,78,986.52","1,72,533.93","1,64,898.96","1,57,406.67","1,56,526.03","1,59,559.05","1,54,994.17","1,48,844.49","1,39,281.76","1,49,457.61","1,49,497.29","1,45,776.80","1,48,967.36","1,50,048.22","1,47,905.91","1,49,080.89","1,50,918.18","1,46,084.37","1,37,219.22","1,39,900.21","1,38,359.07","1,34,202.23","1,28,984.26","1,26,856.68","1,28,303.74","1,30,134.22","1,29,059.00","1,27,449.60",2018,127449.60,-35.37,11.95
408,Democratic People's Republic of Korea,"2,07,544.00",...,...,...,"1,57,529.00",...,...,...,...,...,"81,892.00",...,"87,330.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2002,87330.00,-57.92,3.74
180,Democratic Republic of the Congo,...,...,...,...,"44,641.58",...,...,...,...,"48,207.00","46,749.16","46,007.38","45,914.01","45,998.98",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2003,45998.98,...,0.89
208,Denmark,"71,000.02","81,630.67","75,643.54","77,804.11","81,684.72","78,731.96","91,922.97","82,464.94","78,486.88","76,046.63","71,773.41","73,508.24","72,974.28","78,060.17","71,947.75","67,541.34","75,268.34","70,696.82","67,108.81","64,354.79","64,654.77","59,421.50","54,837.72","56,561.60","52,361.36","49,742.09","51,798.27","49,678.02","49,694.48",2018,49694.48,-30.01,8.64
262,Djibouti,...,...,...,...,510.76,...,...,...,...,...,"1,071.81",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1071.81,...,1.49
212,Dominica,...,...,...,...,152.19,...,...,...,...,...,173.90,184.38,177.34,176.80,167.21,181.89,172.36,179.21,174.07,184.52,192.54,206.30,211.40,213.31,219.71,222.64,222.29,211.53,...,2017,211.53,...,2.96
214,Dominican Republic,"12,640.92",...,...,...,"20,441.80",...,...,...,"23,749.48",...,"26,433.24",...,...,...,...,...,...,...,...,...,"25,230.77",...,...,...,...,...,...,...,...,2010,25230.77,99.60,2.60
218,Ecuador,"1,78,646.80",...,...,...,"33,494.53",...,...,...,...,...,"37,033.73",...,...,...,...,...,"48,201.19",...,...,...,"56,333.13",...,"60,191.63",...,...,...,...,...,...,2012,60191.63,-66.31,3.89
