CountryID,Country and area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnote
170,Colombia,76.10,74.97,63.67,69.36,74.61,71.17,79.20,68.41,66.98,76.44,72.99,72.79,75.08,75.95,79.85,79.05,79.49,80.44,75.65,65.59,67.35,73.65,69.73,63.63,61.65,59.72,62.99,76.52,
174,Comoros,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
178,Congo,99.41,99.38,99.30,99.30,99.18,99.09,99.16,99.35,99.42,85.59,99.66,99.70,100.00,85.71,83.12,81.99,82.12,82.31,81.34,61.22,54.72,64.67,61.00,62.44,60.52,50.76,48.74,44.23,
184,Cook Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94,3.03,3.03,9.38,6.90,12.12,10.81,
188,Costa Rica,98.67,95.33,85.88,90.31,82.45,84.54,91.34,96.78,91.72,97.78,98.89,98.33,97.66,94.49,95.74,95.87,93.01,91.15,91.99,93.82,91.80,89.81,90.08,86.53,88.02,97.35,96.65,98.05,
384,Côte d'Ivoire,60.02,69.36,56.62,62.64,55.99,58.44,55.04,46.90,34.00,36.31,36.65,36.71,32.59,35.97,31.72,25.25,26.75,31.91,32.72,36.30,27.12,29.09,25.50,20.99,23.09,15.52,14.91,20.23,
191,Croatia,...,...,48.85,47.57,61.95,61.27,70.38,57.22,52.61,56.47,57.36,56.36,46.34,41.64,55.20,54.33,51.81,38.55,46.01,56.10,62.88,47.16,49.56,65.86,72.97,64.97,63.48,56.66,
192,Cuba,0.71,0.85,0.88,0.94,0.51,0.59,0.72,0.92,0.69,0.71,0.59,0.49,0.68,0.81,0.56,0.44,0.57,0.69,0.78,0.85,0.63,0.67,0.72,0.80,0.73,0.48,0.61,0.80,
531,Curaçao,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21.98,22.93,24.43,25.74,25.90,38.61,
196,Cyprus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.06,0.08,0.71,2.56,4.39,6.48,6.11,7.65,7.61,7.65,
