CountryID,Country,Year,Population Treatment Wastewater,Percent of Generated Hazard Waste Treated,Non-treated Wastewater
192,Cuba,2005,10.60000038,,2764384.0
192,Cuba,2006,10.39999962,,4013699.0
192,Cuba,2007,10.60000038,,4131507.0
192,Cuba,2008,10.69999981,,5676712.0
192,Cuba,2009,10.5,,4964384.0
192,Cuba,2010,10.39999962,73.9549849,4353425.0
192,Cuba,2011,10.39999962,46.03386391,4687671.0
192,Cuba,2012,10.5,95.09780332,5136986.0
192,Cuba,2013,10.69999981,94.1041545,6432877.0
192,Cuba,2014,10.80000019,83.87891289,6531507.0
192,Cuba,2015,10.80000019,89.90457637,4131507.0
192,Cuba,2016,11.19999981,45.96681637,4230137.0
192,Cuba,2017,11.30000019,32.40946329,5416438.0
196,Cyprus,2004,100.0,58.53919742,
196,Cyprus,2005,100.0,,
203,Czechia,2004,74.0,44.84699738,
203,Czechia,2005,75.0,,
203,Czechia,2006,74.0,43.79969091,
203,Czechia,2007,76.0,,
203,Czechia,2008,78.0,55.266482,
203,Czechia,2009,78.0,,
203,Czechia,2010,79.0,61.01856091,
203,Czechia,2011,81.0,,
203,Czechia,2012,78.0,50.86151783,
203,Czechia,2013,80.0,,
203,Czechia,2014,80.0,51.38840376,
203,Czechia,2015,81.0,,
203,Czechia,2016,81.0,48.63444394,
203,Czechia,2017,82.0,,
208,Denmark,2009,100.0,,
208,Denmark,2010,100.0,87.62429631,
208,Denmark,2011,100.0,,
208,Denmark,2012,100.0,99.15170042,
208,Denmark,2013,100.0,,
208,Denmark,2014,100.0,90.14544495,
212,Dominica,2005,13.0,,
214,Dominican Republic,2005,12.0,,
222,El Salvador,2007,3.079999924,,83042.0
222,El Salvador,2008,2.869999886,,82711.0
222,El Salvador,2009,2.849999905,,82391.0
222,El Salvador,2010,2.829999924,,82193.0
222,El Salvador,2011,2.839999914,,83040.0
222,El Salvador,2012,2.829999924,,
233,Estonia,2004,74.0,97.91514535,
233,Estonia,2005,79.0,,
233,Estonia,2006,79.0,103.7109233,
233,Estonia,2007,84.0,,
233,Estonia,2008,85.0,102.2618371,
233,Estonia,2009,85.0,,
233,Estonia,2010,86.0,99.63009283,
233,Estonia,2011,87.0,,
233,Estonia,2012,87.0,99.69576835,
233,Estonia,2013,87.0,,
233,Estonia,2014,87.0,99.08527316,
233,Estonia,2015,88.0,,
233,Estonia,2016,88.0,99.05200945,
233,Estonia,2017,88.0,,
246,Finland,2010,100.0,53.3624259,
246,Finland,2011,100.0,,
246,Finland,2012,100.0,85.32995716,
246,Finland,2013,100.0,,
246,Finland,2014,100.0,95.84858705,
250,France,2004,96.0,77.26822812,
250,France,2010,100.0,73.96035615,
250,France,2011,100.0,,
250,France,2012,100.0,78.21725066,
250,France,2013,100.0,,
250,France,2014,98.0,70.52848803,
250,France,2015,100.0,,
250,France,2016,100.0,65.07762471,
250,France,2017,100.0,,
254,French Guiana,2004,44.0,,
258,French Polynesia,2005,5.0,,
258,French Polynesia,2013,8.0,,
268,Georgia,2015,32.0,,
268,Georgia,2016,34.0,,
268,Georgia,2017,37.0,,
276,Germany,2004,98.0,102.7835264,
276,Germany,2005,97.0,,
276,Germany,2007,100.0,,
276,Germany,2010,100.0,95.56222999,
276,Germany,2011,100.0,,
276,Germany,2012,100.0,95.97205154,
276,Germany,2013,100.0,,
276,Germany,2014,100.0,94.07888813,
276,Germany,2015,100.0,,
276,Germany,2016,100.0,93.31528406,
300,Greece,2007,85.0,,
300,Greece,2009,87.30000305,,
300,Greece,2010,87.30000305,37.08430869,
300,Greece,2011,88.09999847,,
300,Greece,2013,92.83000183,,
300,Greece,2014,92.83000183,52.03333318,
312,Guadeloupe,2004,38.90000153,,
312,Guadeloupe,2010,40.0,,
324,Guinea,2005,10.0,,
324,Guinea,2006,10.0,,
324,Guinea,2007,10.0,,
324,Guinea,2008,11.0,,
324,Guinea,2009,11.0,,
328,Guyana,2004,0.0,,
328,Guyana,2005,0.0,,
328,Guyana,2006,0.0,,
328,Guyana,2007,0.0,,
328,Guyana,2008,0.0,,
328,Guyana,2009,0.0,,
328,Guyana,2017,0.0,,
344,"China, Hong Kong Special Administrative Region",2004,92.33000183,99.3240974,
344,"China, Hong Kong Special Administrative Region",2005,92.93000031,98.35359515,
344,"China, Hong Kong Special Administrative Region",2006,93.16999817,98.18110996,
344,"China, Hong Kong Special Administrative Region",2007,93.22000122,98.21455067,
344,"China, Hong Kong Special Administrative Region",2008,93.26000214,98.30123978,
344,"China, Hong Kong Special Administrative Region",2009,93.23000336,97.53156243,
344,"China, Hong Kong Special Administrative Region",2010,93.59999847,96.51219751,
344,"China, Hong Kong Special Administrative Region",2011,93.69999695,95.18132278,
344,"China, Hong Kong Special Administrative Region",2012,93.30000305,94.29472815,
344,"China, Hong Kong Special Administrative Region",2013,93.40000153,94.13852178,
344,"China, Hong Kong Special Administrative Region",2014,93.09999847,95.22583077,
344,"China, Hong Kong Special Administrative Region",2015,93.5,93.95636967,
348,Hungary,2004,72.0,23.82071583,
348,Hungary,2005,61.0,,
348,Hungary,2006,63.0,90.74958889,
348,Hungary,2007,66.0,,
