CountryID,Country,Occurrence 1990-1999,Occurrence 2000-2009,Occurrence 2010-2019,Total deaths 1990-1999,Total deaths 2000-2009,Total deaths 2010-2019,Persons affected 1990-1999,Persons affected 2000-2009,Persons affected 2010-2019
196,Cyprus,1,4,...,52,9,...,100,440,...
203,Czechia,...,8,5,...,443,47,...,15,0
408,Democratic People's Republic of Korea,2,3,6,6,49,180,2500,636230,106978
180,Democratic Republic of the Congo,...,5,...,...,49,...,...,103036,...
208,Denmark,4,3,3,8,5,2,0,0,0
262,Djibouti,1,...,1,0,...,2,775,...,25000
212,Dominica,3,1,3,2,2,94,5716,7530,100227
214,Dominican Republic,4,12,11,382,211,20,1003425,185194,151235
818,Egypt,3,2,5,72,16,198,60,147,32813
222,El Salvador,3,7,5,491,346,39,86000,165541,32604
232,Eritrea,1,...,...,3,...,...,15675,...,...
233,Estonia,...,2,2,...,3,8,...,100,0
748,Eswatini,...,2,...,...,1,...,...,7685,...
242,Fiji,5,8,7,59,44,59,173275,39082,780039
246,Finland,2,...,...,0,...,...,0,...,...
250,France,22,24,26,273,20961,4810,3519441,5358,502256
258,French Polynesia,...,...,1,...,...,1,...,...,3411
266,Gabon,...,1,2,...,0,0,...,800,3530
270,Gambia,...,4,...,...,5,...,...,16806,...
268,Georgia,...,1,2,...,0,0,...,900,7768
276,Germany,18,22,17,137,9468,41,30015,616,39
288,Ghana,...,...,1,...,...,20,...,...,12
300,Greece,2,6,3,8,48,12,0,788,123
308,Grenada,2,1,...,0,39,...,1210,60000,...
312,Guadeloupe,4,1,1,4,0,4,899,0,80002
316,Guam,2,4,...,1,2,...,11962,15444,...
320,Guatemala,2,7,10,384,1546,194,105700,489015,526394
324,Guinea,...,1,...,...,4,...,...,0,...
624,Guinea-Bissau,1,...,1,0,...,3,1722,...,11541
332,Haiti,5,18,11,1378,3663,673,1599144,726834,2433543
340,Honduras,4,7,4,14619,75,26,2112022,209690,24946
348,Hungary,1,7,4,40,662,16,0,800,22498
356,India,34,45,67,22130,5927,7266,32346701,5931639,36231150
360,Indonesia,...,2,3,...,4,32,...,3715,12585
364,Iran (Islamic Republic of),4,5,1,31,43,4,3785,201009,2000
372,Ireland,8,3,3,14,1,4,0,200,0
376,Israel,2,2,2,5,3,4,0,410,2003200
380,Italy,5,8,15,49,20110,97,1100,200,3417
388,Jamaica,2,12,4,4,45,16,800,399410,348356
392,Japan,25,37,57,351,581,1502,420370,974554,1010501
