CountryID,Country,"Forest Area, 1990 (1000 ha)","Forest Area, 2000 (1000 ha)","Forest Area, 2010 (1000 ha)","Forest Area, 2015 (1000 ha)","Forest Area, 2020 (1000 ha)"
616,Poland,8882.0,9059.0,9329.0,9420.0,9483.0
620,Portugal,3399.0,3281.0,3252.0,3312.0,3312.0
630,Puerto Rico,320.33,429.15,491.45,493.88,496.33
634,Qatar,0.0,0.0,0.0,0.0,0.0
410,Republic of Korea,6551.0,6476.0,6387.0,6337.0,6287.0
498,Republic of Moldova,325.4,344.4,374.5,386.4,386.5
638,Réunion,87.95,90.97,93.99,96.04,98.44
642,Romania,6371.0,6366.0,6515.0,6900.96,6929.05
643,Russian Federation,808949.9,809268.5,815135.6,814930.46,815311.6
646,Rwanda,317.0,287.0,265.0,270.0,276.0
652,Saint Barthélemy,0.17,0.17,0.17,0.17,0.17
654,Saint Helena,2.0,2.0,2.0,2.0,2.0
659,Saint Kitts and Nevis,11.0,11.0,11.0,11.0,11.0
662,Saint Lucia,21.27,21.01,20.77,20.77,20.77
663,Saint Martin (French Part),1.24,1.24,1.24,1.24,1.24
666,Saint Pierre and Miquelon,1.9,1.67,1.44,1.33,1.22
670,Saint Vincent and the Grenadines,27.54,28.54,28.54,28.54,28.54
882,Samoa,176.13,171.31,166.49,164.07,161.67
674,San Marino,1.0,1.0,1.0,1.0,1.0
678,Sao Tome and Principe,58.62,58.36,58.1,55.0,51.9
682,Saudi Arabia,977.0,977.0,977.0,977.0,977.0
686,Senegal,9303.16,8853.16,8468.16,8268.16,8068.16
688,Serbia,2313.0,2460.0,2713.0,2719.53,2722.65
690,Seychelles,33.7,33.7,33.7,33.7,33.7
694,Sierra Leone,3126.7,2929.43,2732.16,2633.53,2534.88
702,Singapore,14.83,17.01,17.74,16.47,15.57
534,Sint Maarten (Dutch part),0.37,0.37,0.37,0.37,0.37
703,Slovakia,1902.48,1901.41,1917.91,1921.75,1925.9
705,Slovenia,1188.0,1233.0,1247.0,1248.0,1237.83
90,Solomon Islands,2544.91,2537.6,2530.28,2526.62,2522.97
706,Somalia,8282.5,7515.0,6747.5,6363.75,5980.0
710,South Africa,18142.09,17778.09,17414.09,17232.09,17050.09
728,South Sudan,7157.0,7157.0,7157.0,7157.0,7157.0
724,Spain,13904.66,17093.93,18545.34,18551.18,18572.17
144,Sri Lanka,2350.33,2166.42,2103.62,2128.82,2113.02
275,State of Palestine,9.08,9.08,9.95,10.14,10.14
729,Sudan,23570.31,21826.16,20081.17,19209.93,18359.55
740,Suriname,15377.63,15340.87,15299.86,15251.67,15196.29
744,Svalbard and Jan Mayen Islands,0.0,0.0,0.0,0.0,0.0
752,Sweden,28063.0,28163.0,28073.0,27980.0,27980.0
756,Switzerland,1153.5,1196.18,1234.72,1251.91,1269.11
760,Syrian Arab Republic,372.08,432.08,492.08,522.08,522.08
762,Tajikistan,408.0,410.0,410.0,421.8,423.8
764,Thailand,19361.0,18998.0,20073.0,20061.0,19873.0
626,Timor-Leste,963.1,949.1,935.1,928.1,921.1
768,Togo,1361.66,1268.46,1238.87,1224.07,1209.27
772,Tokelau,0.0,0.0,0.0,0.0,0.0
776,Tonga,8.95,8.95,8.95,8.95,8.95
780,Trinidad and Tobago,242.06,236.65,232.41,230.29,228.19
788,Tunisia,643.98,667.85,687.43,695.08,702.73
792,Turkey,19783.48,20148.35,21083.08,21630.3,22220.36
795,Turkmenistan,4127.0,4127.0,4127.0,4127.0,4127.0
796,Turks and Caicos Islands,10.52,10.52,10.52,10.52,10.52
798,Tuvalu,1.0,1.0,1.0,1.0,1.0
800,Uganda,3575.47,3162.95,2750.42,2544.16,2337.9
804,Ukraine,9274.0,9510.0,9548.0,9657.0,9690.0
784,United Arab Emirates,245.0,309.43,317.3,317.3,317.3
826,United Kingdom of Great Britain and Northern Ireland,2778.0,2954.0,3059.0,3155.0,3190.0
834,United Republic of Tanzania,57390.01,53670.01,49950.01,48090.0,45745.0
840,United States of America,302450.0,303536.0,308720.0,310095.0,309795.0
850,United States Virgin Islands,24.54,20.47,18.43,19.16,19.91
858,Uruguay,798.0,1369.0,1731.3,1920.0,2031.0
860,Uzbekistan,2549.37,2961.46,3349.6,3549.4,3689.66
548,Vanuatu,442.3,442.3,442.3,442.3,442.3
862,Venezuela (Bolivarian Republic of),52026.0,49151.0,47505.0,46683.0,46230.9
704,Viet Nam,9375.96,11784.1,13388.06,14061.86,14643.09
876,Wallis and Futuna Islands,5.8,5.81,5.82,5.83,5.83
732,Western Sahara,665.1,669.31,665.11,664.7,665.07
887,Yemen,549.0,549.0,549.0,549.0,549.0
894,Zambia,47412.0,47054.0,46696.0,45755.1,44814.03
716,Zimbabwe,18826.68,18365.98,17905.28,17674.93,17444.58
