CountryID,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
218,Ecuador,258519.875,256856.4688,255365.7188,248785.6094,239879.4219,...,...,...,...,...,...,...,...,...
818,Egypt,...,...,...,...,...,...,...,...,...,...,...,...,...,...
222,El Salvador,22248.37891,22131.33984,22947.25977,22175.81836,21598.43555,21759.23242,22205.90039,22295.25781,22915.50391,25034.05664,24564.94336,22147.01758,23480.31836,21426.56641
233,Estonia,...,...,15879,...,...,...,...,...,18532,16362,...,...,...,...
246,Finland,143000,112000,98266,89000,108133,104616,112561,131351,120016,114369,117270,119804,128476,124282
250,France,326188,325388,...,...,358245,315833,301180,301912,316271,313246,332183,304244,292608,299398
270,Gambia,11719,11982,15571,15927.40527,12828.75781,6566.040039,...,...,...,...,...,...,...,...
268,Georgia,37816,38087,29609,21855,29690,38369,32120,36257,31060,35366.20313,29849.16602,29937.16211,37092.27734,33814.99219
276,Germany,178000,173000,171000,198000,172000,177000,182000,182000,178000,175000,190000,177000,...,...
348,Hungary,52088,53103,49290,53100,52008,52731,65100,41199,45942,53754,59532,50561,55970,52951
352,Iceland,...,18126,18567,19187,19136,18474,18310,17046,17494,16984,18256,...,...,...
368,Iraq,...,...,...,...,...,...,...,14310,19088,77526,97129,52415,21130,43973
372,Ireland,38912,37731,37369,41399,37601,39037,34044,37564,38690,37749,38163,37995,37942,38377
380,Italy,152075,148898,145160,146306,150448,148425,155688,...,...,...,...,...,...,...
388,Jamaica,...,10051,...,...,...,...,...,...,...,...,...,...,...,...
400,Jordan,6550.5,8671,5813,7201,4869.399902,5902.930176,8092.290039,6072.819824,5534.700195,7689,6817,8154,8772,7636
398,Kazakhstan,806553,672334,805426,747269,644677,822104,800379,817553,656679,865263,683123,839692,990086,704872
414,Kuwait,...,...,...,11,11,11.42000008,9.619999886,10.43999958,7.849999905,9.649999619,9.659999847,6.980000019,6,6.900000095
428,Latvia,30315,30315,26061,26245,28162,26767,24075,27488,24208,20414,21239,20165,21308,27017
422,Lebanon,...,...,...,...,...,4500,...,...,...,...,...,...,...,...
440,Lithuania,31170,28100,29538,32759,29173,35433,37282,28123,31542,32959,24719,25075,27685,36034
442,Luxembourg,...,...,...,...,1374,1229,...,...,...,...,...,...,...,...
450,Madagascar,...,...,...,551191.1875,...,...,...,...,...,...,...,...,...,...
466,Mali,360786,360786,360786,360786,360786,360786,360786,331925,331925,331925,331925,331925,333994,334865
470,Malta,67,73,78,89,72,98,71,82,83,77,81,87,51,69
480,Mauritius,1167,1440,1069,1105,1254,1264,1178,989,942,1107,1119,1431,1082,1212
504,Morocco,...,...,...,117000,121000,126000,119000,122000,79500,...,...,...,...,...
520,Nauru,40.1609993,34.92720032,25.47719955,11.00459957,4.279799938,27.72120094,13.74120045,15.37679958,18.46500015,...,36.23759842,53.20980072,...,...
528,Netherlands,21849,22361,22681,21914,22053,17022,22228,22372,21828,21693,20028,22963,22800,22753
578,Norway,...,...,...,...,...,...,136507,186966,147979,157360,156542,167300,155639,...
591,Panama,88446.85938,89711.29688,87761.10938,88993.47656,88127.19531,86473.4375,98284.1875,76210.64844,74307.24219,73481.85938,74964.59375,58593.92969,75669.3125,78218.38281
600,Paraguay,405976.625,397611.875,463134.9063,445241.5938,405138.125,417980.0938,441791.1563,446881.1875,450795.3438,451220.0625,485203.6563,498159.5313,475446.2813,485511.6563
616,Poland,149701,130852,151063,175700,153849,164802,175385,148606,152301,152502,154215,119794,182180,194583
620,Portugal,...,...,...,...,...,...,...,...,...,...,...,...,51825,51301
634,Qatar,435.6000061,544.7999878,1326.400024,375.7999878,345.8999939,820.7999878,314.1000061,778.5,372.7000122,655,438.6000061,863.4000244,613,859.2000122
498,Republic of Moldova,26400,25600,27700,27800,24900,37000,27800,32000,37300,28300,30500,33600,30500,28500
642,Romania,127300,142700,106555,136450,119153,121769,140465,88834,124501,127456,155230,117699,147192,128889
643,Russian Federation,6129908,5268281,5964690,5334976,5520626,5782551,5734498,5259391,6170729,6629392,5220269,7000426,5972354,5508700
